,name,rate,categories
217,The Smoke Shack,4.1 star rating,"['Southern', 'Barbeque', 'Sandwiches']"
218,Cravorites,4.1 star rating,"['Cajun/Creole', 'Seafood', 'Food Trucks']"
219,Up Scale,3.6 star rating,['New American']
220,Josephine Street,3.9 star rating,"['Steakhouses', 'American', 'Chicken Wings']"
221,Wurst Behavior,4.5 star rating,"['Beer Gardens', 'Burgers']"
222,Sanchos,4.1 star rating,"['Cocktail Bars', 'Tex-Mex', 'Mexican']"
223,South Flo Pizza In H-E-B,3.9 star rating,['Pizza']
224,The Original Mexican Restaurant & Bar,2.4 star rating,"['Mexican', 'Tex-Mex', 'Bars']"
225,Gallery On The Park,3.1 star rating,['Breakfast & Brunch']
226,El Chunky,4.6 star rating,['Hot Dogs']
227,Kimura,3.6 star rating,"['Ramen', 'Noodles', 'Cocktail Bars']"
228,Moses Rose’s Hideout,3.7 star rating,"['Barbeque', 'Burgers', 'Cocktail Bars']"
229,Last Place Burgers,4 star rating,"['Food Trucks', 'Burgers']"
230,The Ridge at the Hill,4.7 star rating,"['Bars', 'American', 'Sandwiches']"
231,The Republic Of Texas Restaurant,2.6 star rating,"['Mexican', 'Steakhouses', 'American']"
232,The County Line,3 star rating,['Barbeque']
233,The Palm - San Antonio,3.4 star rating,"['Steakhouses', 'Seafood']"
234,Thunder Thighs 210 Turkey Legs,3.8 star rating,"['Sushi Bars', 'Japanese']"
235,Commonwealth Coffeehouse & Bakery - Jones,4.4 star rating,"['Barbeque', 'Food Trucks']"
236,Nineteen Hyaku,3.8 star rating,"['Coffee & Tea', 'Bakeries', 'Breakfast & Brunch']"
237,Los Weyes de la Asada,4.7 star rating,"['Tacos', 'Food Trucks']"
238,Burgerteca,4 star rating,['Burgers']
239,St. Anthony Club,5 star rating,['American']
